system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore
39,45.03337422291502,0.0192926745099737,0.2073236417115815,2022-04,Bid,1,4.0,9.436668596376322,62,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,-0.3013557522210401
40,42.75546560229773,-0.0155014716846855,0.1712011835631421,2022-05,Bid,1,5.0,12.436565785844758,64,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,-0.43264705424530703
41,39.471407722743976,0.0371419055757821,0.1107136954376415,2022-06,Bid,1,6.0,136.63979866509118,60,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,-1.0876763739737734
42,28.92377793436876,0.2743800772956516,0.0823898371796632,2022-07,Bid,1,7.0,273.7444911616995,60,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,-1.0112515369477155
43,30.4283193838192,0.2193437040326746,0.1501504248079236,2022-08,Bid,1,8.0,136.91271106165686,60,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,-1.3418638563952192
44,29.50638978646748,0.24735510859136,0.2640729629386957,2022-09,Bid,1,9.0,261.3467705735358,62,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,-1.0965332077325933
45,31.736367261943144,0.1868455814575775,0.3128142738776201,2022-10,Bid,1,10.0,189.26775393006525,66,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,-1.869502035055171
46,31.845122961099467,0.0898636229438903,0.4362894776023795,2022-11,Bid,1,11.0,4.352562795484643,61,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,0.14170703263849938
47,30.71288894668517,0.0871276812374615,0.3785550373494285,2022-12,Bid,1,12.0,10.070496689606705,60,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,-1.3853323612453
48,30.32030651139292,0.0634176881341931,0.3974576784097871,2023-01,Bid,1,1.0,3.4885265436044546,66,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.6055825516191441
49,35.75243773246193,0.0262990462156709,0.3462422800640337,2023-02,Bid,1,2.0,0.0,56,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.8275688549682635
50,39.36410152887533,0.0027713718509841,0.2601778444207006,2023-03,Bid,1,3.0,8.673761270221753,60,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,0.7312458450011756
51,42.23187715414426,-0.0278514092623278,0.2338584834671759,2023-04,Bid,1,4.0,33.27091572272753,60,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,0.7020655022725384
52,43.34339616361689,-0.0204745530458038,0.244099522160143,2023-05,Bid,1,5.0,9.806122985437533,64,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,1.693340723583368
53,41.39718758232609,0.0126548815467752,0.1583010877164524,2023-06,Bid,1,6.0,70.76737734647264,60,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,-0.16612196361961631
54,26.67104286989549,0.2348617778386611,0.0500234917137344,2023-07,Bid,1,7.0,291.31267221753427,60,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,-1.2750646029533026
55,30.14047473233143,0.1844946109072639,0.1888703503254341,2023-08,Bid,1,8.0,38.73562667338852,60,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,-1.1027674372248015
56,31.055692387470565,0.2031900402578352,0.2219890917616903,2023-09,Bid,1,9.0,202.38574380208007,63,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,-1.440398160058719
57,34.958735144332245,0.1335366562774549,0.4974376720867143,2023-10,Bid,1,10.0,20.657531716033283,68,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,0.8012093858791011
58,31.868368164097163,0.0933753617651894,0.3115229047227301,2023-11,Bid,1,11.0,54.01803186134531,69,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,-1.626215929701628
59,28.234985447373774,0.0988647849219904,0.4282524710250451,2023-12,Bid,1,12.0,9.815551170204008,62,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,0.36697741683720275
60,29.506012145681048,0.0737883524798952,0.400888559756919,2024-01,Bid,1,1.0,3.725228391869464,66,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.6653128599392945
61,34.627680002109784,-0.0129966216468536,0.309987950971707,2024-02,Bid,1,2.0,3.6557857052521134,56,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.1260094284166376
62,40.79102857978529,-0.050515172546656,0.2454863303076006,2024-03,Bid,1,3.0,0.3385196060243416,64,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,0.3636877230487911
63,43.41799150717761,-0.0870514482677303,0.2304234463532351,2024-04,Bid,1,4.0,22.029336393757852,60,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,0.5721687694466959
64,41.91054656909605,-0.0716974657773227,0.1894734739768639,2024-05,Bid,1,5.0,17.951412264035607,60,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,0.10024116845153788
65,36.425377419157215,-0.03574196892766,0.1807720137372359,2024-06,Bid,1,6.0,196.36973577228977,63,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,0.26903911555587956
66,27.29466155557861,0.0644637372786589,0.2226506798988058,2024-07,Bid,1,7.0,193.20462045129352,62,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,0.13199285550975642
67,27.35144589391945,0.2103363964086894,0.5207018978816353,2024-08,Bid,1,8.0,178.4489728126422,66,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.9462999028604916
68,30.29517487749808,0.1392916112991497,0.4639766083106741,2024-09,Bid,1,9.0,213.2872544601613,60,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,0.5368682727665082
69,31.41516531415511,0.1079341752883725,0.4883516087422682,2024-10,Bid,1,10.0,85.52803942804643,65,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,0.6697728866014641
70,28.35675211966429,0.1147292935300549,0.4821766049800766,2024-11,Bid,1,11.0,8.334319007479044,63,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,0.7919205016348029
71,27.510948867144037,0.0783684703597239,0.4184331860581951,2024-12,Bid,1,12.0,5.098989335079743,75,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,0.0207537230042565
72,28.154373203555696,0.0452728147412803,0.4053148830386078,2025-01,Bid,1,1.0,2.0011654073488128,54,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.7423734247300141
73,32.86612606553683,0.002357491282028,0.3216534352060793,2025-02,Bid,1,2.0,2.949744816756963,58,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.3517488265743444
74,37.62660065464577,-0.0287516265504427,0.2608135554630911,2025-03,Bid,1,3.0,0.1912158796927597,74,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,0.7471503157757096
